id,shop_id,created_at,name,description
1,1,2024-03-06 10:15:30+00,Food and Treats,"Pet foods, treats, and specialty diets for different types of pets"
2,1,2023-08-18 14:45:22+00,Care and Grooming,"Products such as shampoos, brushes, nail clippers, and grooming tools for maintaining the health and appearance of pets"
3,1,2024-01-25 08:30:15+00,Toys,"A variety of toys designed for dogs, cats, birds, and other pets to keep them entertained and stimulated"
4,1,2023-05-12 16:20:50+00,Beds and Furniture,"Comfortable and stylish beds, sofas, and furniture for pets to rest and relax"
5,2,2024-09-03 12:55:40+00,Punderful Prints,"T-shirts with puns, wordplay, and clever linguistic designs"
6,2,2023-11-28 09:10:27+00,Pixel <3,"T-shirts inspired by retro pixel art, video games, and 8-bit nostalgia"
7,2,2024-06-19 18:40:33+00,Adventure, T-shirts inspired by adventure and exploration
8,2,2023-02-14 22:25:18+00,Dystopian Dreams,T-shirts that delve into the speculative and often unsettling visions of possible futures
9,3,2024-04-08 05:35:45+00,Skincare,"Cleansers, moisturizers, serums, and sunscreen"
10,3,2023-07-01 13:05:12+00,Hair Care,"Shampoos, conditioners, styling products, and hair treatments"
11,3,2024-12-10 20:15:30+00,Makeup,"Cosmetics including foundation, lipstick, eyeshadow, mascara, and other makeup products"
12,3,2023-09-22 07:50:55+00,Bath and Body,"Bath salts, shower gels, body lotions, and spa-related products"
13,3,2024-02-03 11:28:42+00,Sun Care,"Sunscreen, after-sun care, and other products for sun protection"